TrialTypes,Outcome,OptoState,IDOptoLoc,OptoEI,RT_Left,RT_Right,Location,Date,Week_Age
1,1,0,2,0,0.5727,,M2,20240201,29
0,3,1,2,1,,,M2,20240201,29
1,1,0,2,0,0.6456,,M2,20240201,29
1,1,0,2,0,0.7426,,M2,20240201,29
0,0,1,2,1,0.7584,,M2,20240201,29
0,1,0,2,0,,0.7764,M2,20240201,29
1,1,1,2,1,1.1709,,M2,20240201,29
0,1,0,2,0,,0.9182,M2,20240201,29
0,1,1,2,1,,0.9792,M2,20240201,29
1,1,1,2,1,0.625,,M2,20240201,29
0,0,0,2,0,0.5442,,M2,20240201,29
1,0,0,2,0,,1.4881,M2,20240201,29
1,1,0,2,0,0.4799,,M2,20240201,29
1,1,1,2,1,0.2293,,M2,20240201,29
0,1,0,2,0,,0.591,M2,20240201,29
1,1,0,2,0,0.629,,M2,20240201,29
0,0,0,2,0,0.2026,,M2,20240201,29
1,1,0,2,0,0.1436,,M2,20240201,29
1,0,0,2,0,,0.6664,M2,20240201,29
1,1,0,2,0,0.2049,,M2,20240201,29
1,1,0,2,0,0.1297,,M2,20240201,29
0,1,0,2,0,,1.0563,M2,20240201,29
0,0,0,2,0,0.3703,,M2,20240201,29
1,1,0,2,0,0.1191,,M2,20240201,29
1,1,0,2,0,0.2769,,M2,20240201,29
0,1,0,2,0,,1.4151,M2,20240201,29
0,0,0,2,0,1.1925,,M2,20240201,29
1,1,1,2,1,0.4009,,M2,20240201,29
1,1,0,2,0,0.1967,,M2,20240201,29
0,0,0,2,0,1.0885,,M2,20240201,29
1,1,1,2,1,0.3242,,M2,20240201,29
1,1,0,2,0,0.2162,,M2,20240201,29
1,1,0,2,0,0.1322,,M2,20240201,29
0,1,1,2,1,,0.9368,M2,20240201,29
0,1,1,2,2,,0.5987,M2,20240201,29
1,1,0,2,0,0.2414,,M2,20240201,29
0,1,0,2,0,,1.0686,M2,20240201,29
1,1,0,2,0,1.0389,,M2,20240201,29
0,0,1,2,2,0.2131,,M2,20240201,29
1,1,0,2,0,0.1947,,M2,20240201,29
1,1,0,2,0,0.2245,,M2,20240201,29
0,1,1,2,2,,0.6342,M2,20240201,29
1,1,0,2,0,0.2823,,M2,20240201,29
1,1,0,2,0,0.2151,,M2,20240201,29
0,0,0,2,0,0.2021,,M2,20240201,29
0,1,0,2,0,,0.6898,M2,20240201,29
1,1,0,2,0,0.2419,,M2,20240201,29
0,1,1,2,1,,2.1259,M2,20240201,29
1,1,0,2,0,0.1717,,M2,20240201,29
1,1,1,2,2,0.5095,,M2,20240201,29
0,0,0,2,0,0.2786,,M2,20240201,29
0,1,0,2,0,,0.9785,M2,20240201,29
1,1,0,2,0,0.7854,,M2,20240201,29
1,1,0,2,0,0.2313,,M2,20240201,29
1,1,0,2,0,0.2814,,M2,20240201,29
0,0,1,2,1,0.5038,,M2,20240201,29
0,1,0,2,0,,1.2244,M2,20240201,29
1,1,0,2,0,0.4085,,M2,20240201,29
0,1,0,2,0,,0.8042,M2,20240201,29
1,1,0,2,0,0.4839,,M2,20240201,29
0,0,0,2,0,0.1679,,M2,20240201,29
1,1,0,2,0,0.3528,,M2,20240201,29
1,1,0,2,0,0.1994,,M2,20240201,29
1,1,1,2,2,0.2186,,M2,20240201,29
0,1,0,2,0,,0.845,M2,20240201,29
1,1,0,2,0,0.1894,,M2,20240201,29
1,1,0,2,0,0.1131,,M2,20240201,29
0,1,1,2,1,,1.1964,M2,20240201,29
1,1,0,2,0,0.3118,,M2,20240201,29
1,1,0,2,0,0.6971,,M2,20240201,29
0,1,0,2,0,,0.8989,M2,20240201,29
0,1,0,2,0,,1.0782,M2,20240201,29
0,1,0,2,0,,1.2356,M2,20240201,29
1,1,0,2,0,0.2075,,M2,20240201,29
0,0,0,2,0,0.3718,,M2,20240201,29
0,1,0,2,0,,0.9132,M2,20240201,29
0,1,0,2,0,,0.6997,M2,20240201,29
1,1,1,2,2,0.5946,,M2,20240201,29
0,1,1,2,1,,0.9837,M2,20240201,29
0,1,0,2,0,,1.0769,M2,20240201,29
0,1,0,2,0,,0.3559,M2,20240201,29
1,1,1,2,1,0.5026,,M2,20240201,29
0,1,1,2,2,,0.7256,M2,20240201,29
1,1,0,2,0,0.3826,,M2,20240201,29
1,1,0,2,0,0.1646,,M2,20240201,29
0,0,1,2,2,0.2524,,M2,20240201,29
0,1,0,2,0,,1.4158,M2,20240201,29
0,0,0,2,0,0.4819,,M2,20240201,29
1,0,0,2,0,,0.9456,M2,20240201,29
1,1,0,2,0,0.6231,,M2,20240201,29
1,1,1,2,2,0.1866,,M2,20240201,29
0,1,0,2,0,,1.1948,M2,20240201,29
1,1,0,2,0,0.1953,,M2,20240201,29
1,1,0,2,0,0.1723,,M2,20240201,29
1,1,0,2,0,0.1907,,M2,20240201,29
0,0,1,2,1,1.514,,M2,20240201,29
1,1,0,2,0,0.1823,,M2,20240201,29
1,1,0,2,0,0.1274,,M2,20240201,29
1,1,1,2,2,0.2099,,M2,20240201,29
0,1,1,2,1,,1.3938,M2,20240201,29
0,1,0,2,0,,0.9393,M2,20240201,29
1,1,1,2,2,0.1524,,M2,20240201,29
1,1,0,2,0,0.1869,,M2,20240201,29
0,1,0,2,0,,0.8896,M2,20240201,29
1,1,0,2,0,0.4543,,M2,20240201,29
0,1,0,2,0,,0.8073,M2,20240201,29
1,1,0,2,0,0.335,,M2,20240201,29
0,1,0,2,0,,1.4021,M2,20240201,29
0,1,0,2,0,,0.7609,M2,20240201,29
1,1,0,2,0,0.2845,,M2,20240201,29
0,1,0,2,0,,0.8839,M2,20240201,29
0,0,0,2,0,0.6591,,M2,20240201,29
0,1,0,2,0,,0.954,M2,20240201,29
1,1,0,2,0,1.1722,,M2,20240201,29
0,1,0,2,0,,1.4612,M2,20240201,29
1,1,0,2,0,0.536,,M2,20240201,29
0,1,0,2,0,,1.2544,M2,20240201,29
1,1,0,2,0,0.3098,,M2,20240201,29
0,1,1,2,2,,1.5166,M2,20240201,29
1,1,1,2,2,3.7224,,M2,20240201,29
1,1,0,2,0,0.297,,M2,20240201,29
1,1,0,2,0,0.3442,,M2,20240201,29
0,1,0,2,0,,3.0598,M2,20240201,29
0,0,1,2,1,1.8658,,M2,20240201,29
0,1,0,2,0,,1.0012,M2,20240201,29
1,1,0,2,0,0.5103,,M2,20240201,29
0,3,1,2,1,,,M2,20240201,29
1,1,0,2,0,0.8076,,M2,20240201,29
0,1,1,2,1,,2.186,M2,20240201,29
1,1,1,2,2,0.2702,,M2,20240201,29
1,1,0,2,0,2.2667,,M2,20240201,29
0,3,1,2,1,,,M2,20240201,29
0,1,1,2,2,,0.6341,M2,20240201,29
0,3,0,2,0,,,M2,20240201,29
1,0,0,2,0,,0.2687,M2,20240201,29
0,1,0,2,0,,0.6439,M2,20240201,29
0,1,0,2,0,,2.151,M2,20240201,29
1,1,0,2,0,0.286,,M2,20240201,29
1,1,0,2,0,0.2095,,M2,20240201,29
0,3,0,2,0,,,M2,20240201,29
0,1,1,2,1,,1.6678,M2,20240201,29
0,1,1,2,2,,1.1976,M2,20240201,29
1,1,0,2,0,0.5479,,M2,20240201,29
0,0,0,2,0,1.3774,,M2,20240201,29
1,1,1,2,2,0.4881,,M2,20240201,29
1,1,1,2,1,0.5112,,M2,20240201,29
1,3,0,2,0,,,M2,20240201,29
0,0,0,2,0,1.0082,,M2,20240201,29
0,1,1,2,1,,0.4236,M2,20240201,29
0,0,0,2,0,0.4973,,M2,20240201,29
1,1,0,2,0,0.3478,,M2,20240201,29
0,0,0,2,0,0.4504,,M2,20240201,29
1,1,1,2,1,0.6816,,M2,20240201,29
1,1,0,2,0,1.1948,,M2,20240201,29
0,3,1,2,2,,,M2,20240201,29
1,1,0,2,0,0.312,,M2,20240201,29
0,0,0,2,0,0.27,,M2,20240201,29
1,1,0,2,0,0.293,,M2,20240201,29
1,1,0,2,0,0.2892,,M2,20240201,29
1,1,1,2,2,0.4676,,M2,20240201,29
0,0,0,2,0,0.2908,,M2,20240201,29
0,1,0,2,0,,1.1907,M2,20240201,29
0,0,0,2,0,1.2166,,M2,20240201,29
1,1,1,2,2,0.34,,M2,20240201,29
0,1,1,2,2,,1.0877,M2,20240201,29
1,1,0,2,0,0.2565,,M2,20240201,29
0,0,0,2,0,0.4158,,M2,20240201,29
0,1,0,2,0,,1.1272,M2,20240201,29
1,1,0,2,0,0.3275,,M2,20240201,29
1,1,0,2,0,0.2267,,M2,20240201,29
0,0,0,2,0,0.2863,,M2,20240201,29
0,1,1,2,2,,1.2166,M2,20240201,29
0,1,1,2,2,,0.2507,M2,20240201,29
1,1,1,2,1,0.4451,,M2,20240201,29
1,1,1,2,1,0.3494,,M2,20240201,29
0,3,0,2,0,,,M2,20240201,29
0,1,0,2,0,,1.2382,M2,20240201,29
0,0,0,2,0,0.7375,,M2,20240201,29
1,1,0,2,0,0.3917,,M2,20240201,29
1,1,0,2,0,0.2001,,M2,20240201,29
1,1,0,2,0,0.229,,M2,20240201,29
0,0,1,2,2,0.4018,,M2,20240201,29
1,1,1,2,1,0.3661,,M2,20240201,29
1,1,0,2,0,0.2473,,M2,20240201,29
0,0,1,2,1,0.5068,,M2,20240201,29
0,0,0,2,0,0.2364,,M2,20240201,29
0,1,1,2,2,,0.772,M2,20240201,29
1,1,1,2,2,0.2629,,M2,20240201,29
0,1,0,2,0,,0.9155,M2,20240201,29
0,0,1,2,1,1.7625,,M2,20240201,29
0,3,0,2,0,,,M2,20240205,30
1,3,1,2,2,,,M2,20240205,30
1,1,0,2,0,4.9247,,M2,20240205,30
1,3,0,2,0,,,M2,20240205,30
1,3,1,2,1,,,M2,20240205,30
0,1,0,2,0,,1.7732,M2,20240205,30
0,1,0,2,0,,1.214,M2,20240205,30
0,0,0,2,0,0.4671,,M2,20240205,30
1,1,0,2,0,0.4958,,M2,20240205,30
0,1,1,2,1,,1.1172,M2,20240205,30
1,1,0,2,0,0.2471,,M2,20240205,30
1,3,0,2,0,,,M2,20240205,30
